Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),Thermocouple 5 (deg C),Thermocouple 6 (deg C),Thermocouple 7 (deg C),Thermocouple 8 (deg C),Thermocouple 9 (deg C),EGT 2 (deg C),Thermocouple 11 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),CHT 1 TEMPERATURE (deg C),CHT 2 TEMPERATURE (deg C),ELEV POSITION (%),FUEL PRESSURE (PSI),PHEAT CONTACT (V),GP Input 6,GP Input 7,GP Input 8,GP Input 9,GP Input 10,OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,
643.06,1,12,2022-09-24 10:20:06,+55.36716,+10.03039,187,0.0,358.0,-3.8,,,,,10:20:06,+2.4,-1.2,185.2,0.0,+172,+0.1,-0.02,+1.0,99,+24,+16,0.0,30.04,+348,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
644.06,1,12,2022-09-24 10:20:07,+55.36716,+10.03039,187,0.0,358.0,-3.8,,,,,10:20:07,+2.4,-1.2,185.2,0.0,+173,+0.1,-0.02,+1.0,99,+14,+16,0.0,30.04,+348,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
645.06,1,12,2022-09-24 10:20:08,+55.36716,+10.03039,187,0.0,358.0,-3.8,,,,,10:20:08,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,+9,+16,0.0,30.04,+348,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
646.06,1,12,2022-09-24 10:20:09,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:09,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,+5,+16,0.0,30.04,+348,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
647.06,1,12,2022-09-24 10:20:10,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:10,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,+7,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
648.06,1,12,2022-09-24 10:20:11,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:11,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,-8,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.2,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
649.06,1,12,2022-09-24 10:20:12,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:12,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,+12,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
650.06,1,12,2022-09-24 10:20:13,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:13,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,+6,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
651.06,1,12,2022-09-24 10:20:14,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:14,+2.4,-1.2,185.3,0.0,+173,+0.1,-0.02,+1.0,99,-1,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
652.06,1,12,2022-09-24 10:20:15,+55.36716,+10.03039,186,0.0,358.0,-3.8,,,,,10:20:15,+2.4,-1.2,185.3,0.0,+174,+0.1,-0.02,+1.0,99,+32,+16,0.0,30.04,+349,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,0.0,0.0,0.5,,,18.5,12.9,,-4.1,188.7,140.1,,,,,,,,,,+15,,+15,,,+15.1,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
