Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),Thermocouple 5 (deg C),Thermocouple 6 (deg C),Thermocouple 7 (deg C),Thermocouple 8 (deg C),Thermocouple 9 (deg C),EGT 2 (deg C),Thermocouple 11 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),CHT 1 TEMPERATURE (deg C),CHT 2 TEMPERATURE (deg C),ELEV POSITION (%),FUEL PRESSURE (PSI),PHEAT CONTACT (V),GP Input 6,GP Input 7,GP Input 8,GP Input 9,GP Input 10,OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,
0.06,,,,,,,,,+0.0,,,,,10:24:22,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06,1,12,2022-09-24 10:24:22,+55.36721,+10.03029,200,0.0,355.4,-3.8,,,,,10:24:21,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,3,0,0,"7000",,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.06,1,12,2022-09-24 10:24:23,+55.36721,+10.03029,200,0.0,355.4,-3.8,,,,,10:24:22,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,3,0,0,"7000",,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.06,1,12,2022-09-24 10:24:24,+55.36721,+10.03029,200,0.0,355.4,-3.8,,,,,10:24:23,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,3,0,0,"7000",,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.06,1,12,2022-09-24 10:24:25,+55.36721,+10.03029,201,0.0,355.4,-3.8,,,,,10:24:24,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.06,1,12,2022-09-24 10:24:26,+55.36722,+10.03029,201,0.0,355.4,-3.8,,,,,10:24:25,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.06,1,12,2022-09-24 10:24:27,+55.36722,+10.03029,201,0.0,355.4,-3.8,,,,,10:24:26,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.06,1,12,2022-09-24 10:24:28,+55.36722,+10.03028,201,0.0,355.4,-3.8,,,,,10:24:27,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.06,1,12,2022-09-24 10:24:29,+55.36722,+10.03028,201,0.0,355.4,-3.8,,,,,10:24:28,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.06,1,12,2022-09-24 10:24:30,+55.36722,+10.03028,201,0.0,355.4,-3.8,,,,,10:24:29,,,,,,,,,,,,,,,,,138,,101.0,+0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,188.7,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.69,1,12,2022-09-24 10:27:07,+55.36716,+10.03032,172,0.0,355.4,-3.8,,,,,10:27:07,+2.4,-1.3,185.3,0.0,+173,-0.0,-0.02,+1.0,99,+8,+16,0.0,30.04,+351,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,3,0,0,"7000",3,+65,0,0,30.1,,,0.0,0.5,,,18.5,12.8,,-4.0,188.7,140.1,,,,,,,,,,+16,,+16,,,+66.2,+64.7,+13,+0.5,+4.998,,,,,,+3.3,+64.6,,,,,
167.69,1,12,2022-09-24 10:27:08,+55.36716,+10.03032,172,0.0,355.4,-3.8,,,,,10:27:08,+2.4,-1.3,185.2,0.0,+173,-0.0,-0.02,+1.0,99,-5,+16,0.0,30.04,+351,,,138,,,,,0,0,,,,,,,+0,,,+0,,,,,1,0,0,"7000",3,+16,0,0,30.1,,,0.0,0.5,,,18.5,12.8,,-4.0,188.7,140.1,,,,,,,,,,+16,,+16,,,+15.2,+15.8,+13,+0.5,+4.998,,,,,,+3.3,+15.9,,,,,
